,CreditScore,Balance,NumOfProducts,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,HasCrCard_No,HasCrCard_Yes,IsActiveMember_No,IsActiveMember_Yes,Tenure-group_0-2,Tenure-group_2-4,Tenure-group_4-6,Tenure-group_6-8,Tenure-group_8-10,Age-group_1-20,Age-group_20-40,Age-group_40-60,Age-group_60-80,Age-group_80-100
27,571,0.0,2,38433.35,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
28,574,141349.43,1,100187.43,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
29,411,59697.17,2,53483.21,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
30,591,0.0,3,140469.38,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
31,533,85311.7,1,156731.91,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
32,553,110112.54,2,81898.81,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
33,520,0.0,2,34410.55,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
34,722,0.0,2,142033.07,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
35,475,134264.04,1,27822.99,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
36,490,145260.23,1,114066.77,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
37,804,76548.6,1,98453.45,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
38,850,0.0,1,40812.9,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
39,582,70349.48,2,178074.04,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
40,472,0.0,1,70154.22,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
41,465,122522.32,1,181297.65,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
42,556,117419.35,1,94153.83,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
43,834,131394.56,1,194365.76,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
44,660,155931.11,1,158338.39,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
45,776,109421.13,2,126517.46,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
46,829,112045.67,1,119708.21,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
47,637,137843.8,1,117622.8,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
48,550,103391.38,1,90878.13,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
49,776,103769.22,2,194099.12,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
50,698,116363.37,2,198059.16,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
51,585,146050.97,2,86424.57,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
52,788,0.0,2,116978.19,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
53,655,125561.97,1,164040.94,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
54,601,98495.72,1,40014.76,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
55,619,125211.92,1,113410.49,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
56,656,127864.4,1,87107.57,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
57,725,75888.2,1,45613.75,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
58,511,0.0,1,1643.11,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
59,614,40685.92,1,46775.28,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
60,742,136857.0,1,84509.57,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
61,687,152328.88,2,126494.82,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
62,555,56084.69,2,178798.13,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
63,684,78707.16,1,99398.36,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
64,603,109166.37,1,92840.67,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
65,751,169831.46,2,27758.36,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
66,581,101633.04,1,110431.51,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
67,735,123180.01,2,196673.28,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
68,661,150725.53,2,113656.85,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
69,675,98373.26,1,18203.0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
70,738,133745.44,4,28373.86,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
71,813,0.0,1,33953.87,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
72,657,163607.18,1,44203.55,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
73,604,157780.84,2,58426.81,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
74,519,0.0,2,145562.4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
75,735,178718.19,2,22388.0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
76,664,0.0,2,139161.64,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
77,678,0.0,1,148210.64,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
78,757,77253.22,1,194239.63,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
79,416,122189.66,2,98301.61,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
80,665,96645.54,2,171413.66,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
81,777,0.0,1,136458.19,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
82,543,0.0,2,26019.59,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
83,506,90307.62,1,159235.29,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
84,493,0.0,2,1907.66,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
85,652,0.0,2,114675.75,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
86,750,121681.82,1,128643.35,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
87,729,0.0,2,151869.35,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
88,646,0.0,3,93251.42,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
89,635,81623.67,2,156791.36,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
90,647,0.0,3,174205.22,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
91,808,118626.55,2,147132.46,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
92,524,0.0,2,109614.57,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
93,769,0.0,2,172290.61,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
94,730,0.0,2,85982.47,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
95,515,176273.95,1,121277.78,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
96,773,102827.44,1,64595.25,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
97,814,97086.4,2,197276.13,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
98,710,0.0,2,99645.04,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
99,413,0.0,2,6534.18,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
100,665,0.0,1,161848.03,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
101,623,0.0,2,167162.43,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
102,738,82674.15,1,41970.72,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
103,528,0.0,2,60536.56,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
104,670,0.0,1,177655.68,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
105,622,107073.27,2,30984.59,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
106,582,88938.62,1,10054.53,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
107,785,99806.85,1,36976.52,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
108,605,150092.8,1,71862.79,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
109,479,92833.89,1,99449.86,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
110,685,90536.81,1,63082.88,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
111,538,108055.1,2,27231.26,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
112,562,100238.35,1,86797.41,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
113,675,106190.55,1,22994.32,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
114,721,154475.54,2,101300.94,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
115,628,132351.29,2,74169.13,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
116,668,167864.4,1,115638.29,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
117,506,0.0,2,31766.3,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
118,524,107818.63,1,199725.39,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
119,699,185173.81,2,120834.48,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
120,828,129433.34,2,38131.77,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
121,674,120193.42,1,100130.95,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
122,656,0.0,2,141069.88,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
123,684,126384.42,1,198129.36,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
124,625,0.0,1,183646.41,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
125,432,152603.45,1,110265.24,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
126,549,0.0,1,8636.05,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
127,625,148507.24,1,46824.08,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
128,828,0.0,2,171378.77,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
129,770,101827.07,1,167256.35,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
130,758,0.0,2,124226.16,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
131,795,130862.43,1,114935.21,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
132,687,122570.87,1,35608.88,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
133,686,0.0,2,16459.37,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
134,789,124828.46,2,124411.08,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
135,589,144895.05,2,34941.23,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
136,461,63663.93,1,167784.28,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
137,637,133463.1,1,93165.34,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
138,584,213146.2,1,75161.25,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
139,579,129490.36,2,8590.83,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
140,756,137452.09,1,189543.9,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
141,663,0.0,2,180427.24,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
142,682,125851.93,1,193318.33,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
143,793,0.0,1,159123.82,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
144,691,40915.55,1,126213.84,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
145,485,113157.22,1,54141.5,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
146,635,138296.94,2,141075.51,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
147,650,106967.18,1,24495.03,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
148,735,120681.63,1,74836.34,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
149,416,0.0,2,878.87,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
150,754,0.0,2,89520.75,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
151,535,0.0,1,149892.79,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
152,716,0.0,2,180800.42,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
153,539,127609.59,1,98646.22,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
154,614,0.0,2,109041.53,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
155,706,0.0,1,17941.16,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
156,758,0.0,2,82996.47,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
157,586,0.0,2,92067.35,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
158,646,97259.25,1,104719.66,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
159,631,123246.7,1,112687.57,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
160,717,101060.25,1,84699.56,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
161,684,0.0,2,83473.82,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
162,800,108007.36,1,47125.11,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
163,721,0.0,2,106977.8,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
164,683,133702.89,1,55582.54,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
165,660,125189.75,2,139874.43,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
166,704,113034.22,1,162503.48,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
167,615,109013.23,1,196499.96,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
168,667,0.0,2,40721.24,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
169,682,57929.81,2,53134.3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
170,484,130114.39,1,164017.89,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
171,628,95826.49,2,155996.96,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
172,480,129608.57,1,5472.7,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
173,578,169462.09,1,112187.11,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
174,512,0.0,2,146457.83,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
175,484,133868.21,1,27286.1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
176,510,0.0,2,130553.47,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
177,606,190479.48,2,179351.89,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
178,597,101993.12,1,94774.12,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
179,754,161608.81,1,8080.85,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
180,850,122311.21,1,19482.5,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
181,510,0.0,2,48071.61,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
182,778,162150.42,2,174531.27,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
183,636,0.0,2,55470.78,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
184,804,0.0,1,8546.87,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
185,514,0.0,2,95857.18,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
186,730,99010.67,1,194945.8,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
187,525,0.0,1,131521.72,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
188,616,0.0,2,196108.51,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
189,687,111388.18,2,148564.76,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
190,715,56214.85,2,92982.61,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
191,512,84327.77,2,17675.36,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
192,479,0.0,2,114996.43,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
193,601,93012.89,1,86957.42,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
194,580,61710.44,2,128077.8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
195,807,174790.15,1,600.36,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
196,616,0.0,2,43001.46,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
197,721,107720.64,1,158591.12,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
198,501,0.0,2,47847.19,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
199,521,96423.84,1,10488.44,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
200,850,141040.01,1,5978.2,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
201,759,105420.18,1,121409.06,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
202,516,0.0,1,146145.93,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
203,711,129022.06,2,14374.86,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
204,512,176666.62,1,94670.77,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
205,550,0.0,1,179670.31,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
206,608,89763.84,1,199304.74,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
207,618,134954.53,1,151954.39,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
208,643,0.0,1,142513.5,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
209,671,106376.85,1,158264.62,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
210,689,161814.64,2,169381.9,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
211,603,0.0,2,169915.02,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
212,620,0.0,2,88852.47,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
213,676,63095.01,1,40645.81,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
214,572,118287.01,2,60427.3,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
215,668,106854.21,1,157959.02,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
216,695,49512.55,1,133007.34,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
217,730,0.0,2,176576.62,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
218,807,105799.32,2,34888.04,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
219,592,0.0,1,28737.71,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
220,726,114722.05,2,98178.57,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
221,514,0.0,1,125010.24,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
222,567,0.0,2,167984.61,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
223,850,0.0,1,4861.72,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
224,671,99564.22,1,108872.45,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
225,670,170557.91,2,198252.88,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
226,694,0.0,2,26960.31,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
227,547,74596.15,3,85746.52,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
228,751,96888.39,1,77206.25,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
229,594,130830.22,1,61048.53,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
230,673,0.0,2,111981.19,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
231,610,0.0,2,62232.6,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
232,512,0.0,2,156105.03,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
233,767,119714.25,2,150135.38,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
234,585,113978.97,2,93146.11,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
235,763,100160.75,1,33462.94,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
236,712,0.0,1,144375.0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
237,539,116220.5,3,55803.96,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
238,668,0.0,3,89048.46,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
239,703,81173.83,2,162812.16,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
240,662,0.0,2,136259.65,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
241,725,116803.8,1,124052.97,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
242,703,105961.68,2,74158.8,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
243,659,117411.6,1,45071.09,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
